,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,accuracy,Popt,cErecall,cEprecision,cEfmeasure,cMCC,cPMI,cIFA,cPCI,c_ROI_PII,c_ROI_PCI,ceIFA,mRecall,mPrecision,mfmeasure,mMCC,mPMI,mIFA,mPCI,m_ROI_PII,m_ROI_PCI,meIFA,median_time,mean_time,std_time
activemq-5.0.0,0.41115983026874114,0.6666666666666666,0.17256531797151403,0.5081435381355932,0.7453327508478187,0.7360159146277339,0.7407453177498642,0.7325066471222104,0.4099385164943895,0.8030895257329898,0.5743816822925376,0.2767090994813767,0.3063885267275098,0.2842639593908629,0.16970221886238265,0.1431728700734667,1.0,0.2015867659672836,210.41061087240803,144.03391443162968,0.0021374621515368,0.4449494949494949,0.34644825474586644,0.39112195121951215,0.2659201471091355,0.1994177583697234,1.0,0.3485021623654113,240.35301752109018,130.91867449454378,0.0021374621515368,60.48383484999977,60.643034224999944,2.0706337996076423
activemq-5.1.0,0.21590850878541054,0.7096179183135705,0.21670555190613178,0.3290534979423868,0.7448458110984492,0.7430682695052728,0.743717080387855,0.7423559753254161,0.3009062550783097,0.7770034538623817,0.5662932862642442,0.2678571428571428,0.1415929203539823,0.1857923497267759,0.09904394509905734,0.14740303037270358,8.0,0.2018337949445886,102.2670907079646,78.93425622457218,0.00976509561611405,0.4074074074074074,0.1590204897551224,0.2278510234443133,0.1538909823556853,0.199442119944212,8.0,0.33168031873901543,115.55250850340136,69.21481584420562,0.00976509561611405,62.22260874999938,62.205750402000014,1.855166544134768
activemq-5.2.0,0.2913979915433404,0.6790123456790124,0.19597220154766634,0.4061575480257189,0.7396411727631163,0.7337222760245172,0.7369858759945233,0.7300217177009514,0.3384571750442616,0.7889110650133355,0.5998930547749939,0.3228913712158006,0.23318289275736082,0.2648369692704668,0.16330351773419544,0.1504592336263656,2.0,0.20115526787641508,172.92107829478965,129.58867232406814,0.0031799929606682502,0.47710184552289814,0.2567567567567567,0.33039596273291916,0.24058919766335024,0.1994645247657296,2.0,0.3433456443534718,190.50351000351,110.57064680009546,0.0031799929606682502,63.65344964999895,63.05998980700009,3.4755970612111526
activemq-5.3.0,0.2746341377612045,0.6287187039764359,0.20943370355135055,0.37754848774953015,0.7080693114921994,0.7044439998631538,0.7062038968472157,0.7014450552578295,0.30440317771462005,0.7756944480279895,0.533748485109774,0.2697505197505198,0.19855548602419684,0.2297872340425532,0.11982894540036215,0.1518293838862559,4.0,0.20133641540000724,172.2013973888209,128.54187726904152,0.00423248139204555,0.37932038834951454,0.21159663865546216,0.26990702761826635,0.16151969401798344,0.1995318859872576,4.0,0.3264242894281701,185.10571428571427,108.22246283297008,0.00423248139204555,52.97035905000121,53.05789648799997,1.9836620869426065
activemq-5.8.0,0.16401493360180255,0.7573593073593073,0.24797637902366043,0.26975177304964537,0.7490062806991904,0.7473123872017302,0.7480461514004284,0.7452490308667299,0.2668012412222337,0.7505026689249878,0.5776809727087125,0.27543103448275863,0.1029824782025486,0.1499187369398653,0.08078709442028065,0.16594938808040777,5.0,0.20086220712097713,128.85716725214675,104.49178125853746,0.00312724336977665,0.37347985347985346,0.1162329317269076,0.17770034843205568,0.1124475463598788,0.19968919499814047,5.0,0.27598882918310996,145.40285360190762,97.61803312388226,0.00312724336977665,67.46473435000189,67.42792572700004,3.0757248792143836
derby-10.2.1.6,0.7362781954887219,0.317063492063492,0.0609901191539802,0.4434611602753195,0.6297362495009524,0.4722440868338018,0.5459206921231653,0.5141569472373313,0.34865806408625577,0.7314882929688846,0.37490326769051635,0.190982776089159,0.6936114732724903,0.30094415011690884,0.24213950442283821,0.09104980172033239,1.0,0.2022053850620209,498.67532467532465,226.9430831362307,0.00188201787617455,0.3649593440615112,0.6020691637129993,0.4533280230995171,0.28998005988182163,0.199438202247191,1.0,0.6020920738449753,436.47839160839163,144.53492734129622,0.00188201787617455,62.68719075000081,63.01489785799964,2.1464394976505896
derby-10.3.1.4,0.6724176396222206,0.3685242518059856,0.0755537224561004,0.4735988849765258,0.6430643943286993,0.5268539800781887,0.5814267741302029,0.550133079583701,0.3568138513922757,0.7530777222504493,0.3774833188862051,0.20292557382215448,0.6148351648351649,0.3015384615384615,0.2259815218205875,0.10068369333456935,0.0,0.2020798032857034,494.6117906066536,251.08842192948262,0.00088679523682995,0.3814509522834323,0.5779765022824216,0.45757906215921484,0.2983564969310591,0.19950889653966505,0.0,0.6211146676368015,471.7554305360212,149.0780326383301,0.00088679523682995,51.264735600001586,51.50942494399969,2.1962568166338916
derby-10.5.1.1,0.45609055228483314,0.46095426312817617,0.08825554413894045,0.45590697674418595,0.6861293077868701,0.6144353651237678,0.650240920339312,0.6147785017227496,0.3726505780011419,0.8470366793640574,0.49669846775815296,0.26235321474247175,0.3845797423779075,0.30348677587626977,0.2236424306482298,0.09436514354244549,0.0,0.2020588209432985,384.7296988181471,178.57246956943106,0.00083288408896285,0.5146055437100213,0.3566097815811732,0.41767986614612385,0.3132652186004289,0.1995967741935483,0.0,0.6131963741013582,355.18112244897964,115.8534378845817,0.00083288408896285,56.33896724999795,56.31636718299975,2.8411020070695496
groovy-1_5_7,0.1167748917748917,0.75,0.2148292824074074,0.20401337792642138,0.7814839968650378,0.775990999933823,0.7786555562560227,0.7736552579709586,0.24571885755909495,0.7870146630786974,0.5500082896893277,0.2,0.042109929078014155,0.0708020050125313,0.02511820494109295,0.15740232660228265,20.0,0.20466206004584164,11.66123188405797,9.740299524839571,0.0680838630579042,0.4285714285714285,0.07340067340067336,0.1269841269841269,0.10815572336549101,0.1985294117647058,20.0,0.35688506878228665,20.183164983164986,10.476930336749938,0.0680838630579042,46.209547049998946,46.338781307999376,1.436445591580195
groovy-1_6_BETA_1,0.21140303358613216,0.5381274131274132,0.184166961443226,0.3018477222045237,0.6751096985153553,0.6474188299182766,0.663328596263882,0.6467177886361353,0.23865951234293947,0.7908703674175988,0.4450065377269228,0.28125,0.16198979591836732,0.2113237639553429,0.12076834462993855,0.14665866346538609,5.0,0.204516982518682,49.10989010989011,34.579906078973394,0.01366738661548595,0.4285714285714285,0.1833333333333333,0.2650602409638554,0.1787415539543531,0.1986531986531986,5.0,0.4016971273907402,55.46692037470726,24.510419963253888,0.01366738661548595,46.936334450001596,47.09454948099956,1.3724312357539385
