,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,accuracy,Popt,cErecall,cEprecision,cEfmeasure,cMCC,cPMI,cIFA,cPCI,c_ROI_PII,c_ROI_PCI,ceIFA,mRecall,mPrecision,mfmeasure,mMCC,mPMI,mIFA,mPCI,m_ROI_PII,m_ROI_PCI,meIFA,median_time,mean_time,std_time
activemq-5.0.0,0.3358993157380254,0.810832791151594,0.29237111205181143,0.4736904191907627,0.7582759076138779,0.7555813494091195,0.7571321348407358,0.7537121833197711,0.38335514348509414,0.7244608070500929,0.5973558996740614,0.2794701481142159,0.21722278395685868,0.2442219618702737,0.08635735410238324,0.19682566432809856,5.0,0.2010075232404278,150.4229218869158,146.77088858386884,0.0057478445819541,0.28168578993821713,0.21864398067235524,0.24489795918367346,0.08817648949398921,0.1994177583697234,5.0,0.20487069629080265,150.6669960474308,146.04931282968155,0.0057478445819541,0.0519787499999999,0.053202151999999975,0.006303655405088043
activemq-5.1.0,0.17266410465432236,0.8392857142857143,0.3433943869070451,0.28614072494669507,0.7482120336771054,0.7371187249615818,0.7427869677565677,0.7328589698456192,0.2740990002153113,0.6733003580177125,0.5761676863481563,0.2975603070175439,0.1126760563380281,0.1633634222919937,0.06658939895115021,0.2042488020295029,20.0,0.20114927318464637,82.02068354181031,84.27573118406565,0.021742560163784702,0.29200626959247644,0.1164383561643835,0.1670771756978653,0.06784214563975045,0.199442119944212,20.0,0.1943791051489259,85.17587891560494,86.68723726145898,0.021742560163784702,0.0580580500000005,0.05927848099999995,0.005415473883063065
activemq-5.2.0,0.2277403896973327,0.8192771084337349,0.33606897567375793,0.35741736552813075,0.7430872590393345,0.7338141178736262,0.739535739096191,0.7296562679490273,0.3105041472978627,0.6798654875770336,0.6151936724747198,0.31789473684210523,0.1552889095992544,0.20866477492983515,0.08242869267598829,0.21279409634344826,3.0,0.20099981637424585,116.96730368968778,124.95781683366755,0.00330958329243715,0.2802439024390244,0.1520210093628682,0.1990950226244344,0.0715388081938588,0.1994645247657296,3.0,0.18251861731051783,115.0,130.11970117830268,0.00330958329243715,0.06475490000000045,0.06542956399999987,0.004795673891217388
activemq-5.3.0,0.22273559616401115,0.7864741641337386,0.3298565309036513,0.3488749286122215,0.7295759753331599,0.7246912896631408,0.7265674044934578,0.7236608126335501,0.2923765475834204,0.6834697513689906,0.569296373228722,0.2951631701631702,0.15745603321934534,0.2036363636363636,0.07697234252275781,0.20554874959110758,4.0,0.20099463329414285,136.9167324508137,139.53063502194175,0.00366303754681155,0.2840909090909091,0.1564245810055866,0.2014388489208633,0.0737733482286542,0.1995318859872576,4.0,0.1928622400257948,135.54403654485048,141.5999882429357,0.00366303754681155,0.09619099999999925,0.10047226100000003,0.012926847669311311
activemq-5.8.0,0.1370035193564605,0.8562822719449226,0.34623233387435104,0.23594486021329963,0.7538672747231339,0.740447268683146,0.7464555687855877,0.7338854907374972,0.2502365116305151,0.666270783847981,0.588848514863926,0.2760889292196007,0.0809817170111287,0.12481454005934714,0.04227609668326725,0.20808395317995731,8.0,0.20053599173519446,101.45432332701705,104.81541679441796,0.0045710224395435,0.265863453815261,0.0811835043781188,0.12537425149700598,0.04357842527976605,0.19968919499814047,8.0,0.18789696278867501,102.65810276679842,109.01665746542082,0.0045710224395435,0.245174249999998,0.24754698900000022,0.014683366723841062
derby-10.2.1.6,0.589983185865101,0.6751068376068377,0.23449714171053354,0.6283403612296496,0.7183927578968807,0.715769834311784,0.7167395787735785,0.7147175130073381,0.42469396935429504,0.7334748848327503,0.5528356193791187,0.3515622229315175,0.5122023809523809,0.41624365482233494,0.20734144513645808,0.2291684365804493,0.0,0.2011725127367746,369.49693251533745,421.6889318524794,0.0008186265765294,0.3024701816210355,0.5122449985217306,0.3803157626687038,0.1838270960549984,0.199438202247191,0.0,0.15659108358132373,370.0,470.8772312425457,0.0008186265765294,0.058833200000002195,0.05925550600000046,0.00357545993675813
derby-10.3.1.4,0.514759810300143,0.638254339741841,0.2609854042783226,0.5708853883758827,0.6908238134848192,0.6872824430233926,0.6890398450680288,0.6870478223057128,0.36086718896759107,0.7100295639320029,0.49686873784500096,0.3020842379504993,0.4125862635557016,0.35005995203836926,0.1311225811668651,0.2232028826856413,1.0,0.2010087021688683,333.081657066903,368.33312222636664,0.0014370984852726501,0.26955924965685524,0.40741447042221285,0.32490702874288957,0.1152263360987066,0.19950889653966505,1.0,0.16341554963461852,330.0,399.2021024704329,0.0014370984852726501,0.07953944999999854,0.08369501800000048,0.011414711981134694
derby-10.5.1.1,0.2884141689373297,0.7414285714285714,0.29671998179311365,0.4137931034482759,0.7214087710740933,0.72082199577758,0.7211061948684974,0.7206544179957118,0.3191746995115252,0.7081887353913179,0.5555284505554586,0.2927281148679944,0.18544031742532785,0.22288690746974793,0.0685515793545618,0.2185949584436041,4.0,0.20088340221725182,184.02180749248018,198.9278938902201,0.0029520170738412998,0.25852866094221394,0.17777886163000534,0.2111436950146627,0.05808335959082045,0.1995967741935483,4.0,0.1705139290171768,180.1822889960004,210.17533787598478,0.0029520170738412998,0.13191425000000118,0.13506644000000034,0.013925976223102226
groovy-1_5_7,0.0851063829787234,0.8333333333333334,0.32347474305707413,0.1538461538461538,0.7566945593698362,0.7462064417387841,0.7521509884330679,0.7397810780166582,0.1980798542456672,0.6807527257303959,0.4990227518179048,0.1538461538461538,0.030076888285843498,0.0509574813372281,-0.027850605074937203,0.21079949007466753,26.0,0.203764787242545,8.366433566433567,9.727600246658092,0.07965033442351735,0.125,0.0188679245283018,0.032258064516129,-0.03172897869658725,0.1985294117647058,26.0,0.1812013753874399,5.071428571428572,7.009279965983311,0.07965033442351735,0.007981049999990799,0.009370857000000921,0.002513678964993798
groovy-1_6_BETA_1,0.1666666666666666,0.6366666666666667,0.30164438502673796,0.2644628099173554,0.6682135038598918,0.6663370427556702,0.6669171643316967,0.6663327312810632,0.20300653934654767,0.6938532313490744,0.47180916441580345,0.26619433198380565,0.1111111111111111,0.157083057942278,0.04250515848929595,0.20949319618557805,5.0,0.20273393968250703,33.1796875,34.65240137978439,0.013681178335925751,0.24,0.1016949152542373,0.1428571428571428,0.03081994765777915,0.1986531986531986,5.0,0.18271505892362688,30.20169491525424,33.637999250074344,0.013681178335925751,0.0082255000000017,0.009001155000000647,0.0021417103403767036
groovy-1_6_BETA_2,0.1758742159979379,0.6923076923076923,0.31199033524614916,0.28178466773797145,0.6926159785382451,0.6922601816232354,0.6924380569138484,0.6922152891707708,0.22678197784657644,0.6882716049382716,0.5391833851861467,0.3,0.1216216216216216,0.17433516251582942,0.060053090429863995,0.2181575664134216,9.5,0.2027802285177489,39.19694915254237,41.92476280946616,0.021717562040666848,0.2742946708463949,0.123076923076923,0.17047223663725997,0.060798123808695245,0.1987280595324759,9.5,0.1679629937945079,40.25006105006105,46.42329998175088,0.021717562040666848,0.009075099999996849,0.009182449000000285,0.00150764896056601
hbase-0.94.0,0.37011144883485303,0.7738636363636364,0.3487437680398845,0.5031129860851223,0.7186419172583185,0.711441061792405,0.7149126035652223,0.7107008573580276,0.35771500727335426,0.680153452685422,0.6355251498510567,0.4117294520547945,0.31848919676727694,0.3609523809523809,0.17231564055962684,0.2713268911055694,4.5,0.20175883906660202,122.35864113087095,161.0236221921499,0.0085157693972756,0.2784237726098191,0.274486301369863,0.27862127137489456,0.0990788921706974,0.19898601758083584,4.5,0.11671665442929355,107.78501228501227,176.51483545148602,0.0085157693972756,0.01459685000000375,0.015244186000000562,0.00268594442585923
