特征,出现文件数,出现比例,平均重要性,中位数重要性,重要性标准差,最大重要性,最小重要性,重要性总和
CountLineCode,11,0.39285714285714285,0.5004383171112946,0.6414465142045418,0.30473221300130754,0.7737840896294784,0.0036202251028748674,5.50482148822424
SumCyclomaticModified,6,0.21428571428571427,0.2605687059858645,0.06327524118991137,0.3040361583608444,0.7379396333341806,0.01989982293544322,1.563412235915187
CountLine,11,0.39285714285714285,0.24660374978186594,0.009799057805192923,0.318301373747764,0.755956057347959,0.0013847725105824622,2.7126412476005255
CountStmt,9,0.32142857142857145,0.1919551824501663,0.01152932944493976,0.344133737853182,0.8785874732320722,0.003191468788666137,1.7275966420514965
SumCyclomaticStrict,9,0.32142857142857145,0.1901152044749192,0.0377574924711064,0.2969567903925284,0.8015229334607094,0.006563286022278117,1.7110368402742728
AvgLineCode,8,0.2857142857142857,0.18644908776995175,0.026749652587831213,0.2866873228442882,0.7216578285532436,0.007064054936395362,1.491592702159614
MaxCyclomaticStrict,9,0.32142857142857145,0.18122965620564166,0.05873443389714814,0.25947594563198384,0.6788240092772303,0.004864401161997231,1.631066905850775
MaxCyclomatic,11,0.39285714285714285,0.13102144689492523,0.03628454063814647,0.19378540115715182,0.5686845622904279,0.002038381780852385,1.4412359158441777
MaxCyclomaticModified,6,0.21428571428571427,0.12512005530117018,0.026100437879888187,0.20778081814117605,0.5872236843025022,0.011321108945025889,0.750720331807021
MAJOR_COMMIT,8,0.2857142857142857,0.11128700756512222,0.042893513995750185,0.1882825565894608,0.6006057614961201,0.0044118218832343735,0.8902960605209778
CountPath_Mean,11,0.39285714285714285,0.09821025170972332,0.021913652535662107,0.18402215236107028,0.6619555418410094,0.006687437977934738,1.0803127688069565
SumCyclomatic,12,0.42857142857142855,0.08469721706697686,0.01194486404875806,0.21384632613171767,0.7907624242952637,0.006570714642678695,1.0163666048037223
AvgCyclomaticStrict,5,0.17857142857142858,0.040761213306106964,0.043680954628873274,0.0155313277138334,0.06064737474565219,0.013527131532671701,0.20380606653053482
CountLineCodeExe,8,0.2857142857142857,0.04020045827068791,0.03130934284968336,0.041474971092488266,0.14364338795663822,0.0046945110332534306,0.3216036661655033
CountStmtExe,9,0.32142857142857145,0.03459376179220614,0.01462890733716613,0.0449509938799025,0.1572091582335036,0.004639917668489668,0.31134385612985527
CountStmtDecl,12,0.42857142857142855,0.03456542284403533,0.013512828038704143,0.03804145174315063,0.11110008599355188,0.002288089148702974,0.414785074128424
CountPath_Max,7,0.25,0.0324966210560383,0.008812370396669189,0.03765108173047483,0.09994383026115206,0.0006556390539773825,0.22747634739226813
COMM,9,0.32142857142857145,0.029594408011387328,0.027386028492204104,0.012349490077543449,0.04402801769596612,0.011398148610904914,0.26634967210248595
Added_lines,11,0.39285714285714285,0.027513535977137824,0.02374513123305395,0.024482452970055177,0.08020623714505272,0.0022818014177198244,0.30264889574851606
