Project,AUC,G-mean,MCC,F1,cMCC,mMCC,c_ROI_PII,m_ROI_PII,c_ROI_PCI,m_ROI_PCI,ceIFA,meIFA,Fidelity,Tree_Depth,Avg_Rule_Length,Feature_Sparsity,Jaccard_Stability(AJS),Runtime
activemq-5.0.0,0.7501476923626338,0.7444614801476612,0.41979621822882196,0.5132768471739095,0.17378125474251824,0.28382199488254806,214.96909867382703,247.64246851020235,148.4078262001023,133.15095986116836,0.003563005951691117,0.003563005951691117,1.0,7.84,5.2462937479972345,0.3029230769230769,0.1540344469962633,28.97281004182063
activemq-5.1.0,0.7368688033638082,0.7330073780868603,0.29377527925522423,0.32629881643716024,0.09881146060295125,0.16235352431398364,103.55160016431661,120.4670673249838,75.88325302490192,70.24299676543833,0.012109849885790152,0.012109849885790152,1.0,8.58,5.570718257795429,0.33153846153846167,0.15684134387952758,29.30320198962465
activemq-5.2.0,0.7404342726863389,0.7360320447888437,0.34862340584295004,0.41168683345201473,0.17768336917615257,0.24170519162819792,179.48769166132192,192.33933851122697,134.0518274579865,112.70478258052039,0.0041794068908249105,0.0041794068908249105,1.0,8.72,5.636791179867073,0.33292307692307704,0.15784460427391286,30.19892935991287
activemq-5.3.0,0.7092236476013362,0.7019739855102756,0.3016694494693444,0.37663644492238013,0.11657412459135712,0.1703009650687259,171.0358877300605,187.05055886905248,126.78467888163134,109.4301582488399,0.005837911811377304,0.005837911811377304,1.0,9.27,5.9025385540017465,0.37584615384615383,0.1842311625232162,32.40964513961226
activemq-5.8.0,0.7467272338850279,0.7446653443285784,0.2649579472729875,0.26776313287961917,0.07899827112002977,0.11933031468538147,131.8977963051678,147.95835422235967,104.54943909081176,99.28470876458272,0.005377039472161515,0.005377039472161515,1.0,10.09,6.3886603037139675,0.460923076923077,0.18866961116703118,44.59941693866625
derby-10.2.1.6,0.6346897392423868,0.5525624738945566,0.3519524194801296,0.4491119711924594,0.245206117155282,0.2932891795362994,504.87347367141825,442.2777274838893,235.93013496997793,157.73393208911375,0.002310646994036038,0.002310646994036038,1.0,7.48,4.917343269150374,0.24169230769230768,0.127649962314565,29.985105327218772
derby-10.3.1.4,0.6454633245169613,0.5821226155525241,0.35764111258362413,0.4739525211477467,0.22470274196950457,0.29234438550777286,495.6986934264504,463.153943628546,251.11159193578402,160.75904378877019,0.0012751631057075269,0.0012751631057075269,1.0,8.11,5.233578704554559,0.276,0.1636122303717763,31.553859294615688
derby-10.5.1.1,0.6853820687537019,0.6460833816078424,0.36731868180189126,0.4529165557757368,0.2245881180898766,0.3108261452731503,381.96343673968676,353.9925860516741,178.49739768653646,118.55602608574758,0.0015338036847629404,0.0015338036847629404,1.0,10.07,5.935976562297948,0.3313846153846154,0.15424521451869233,34.84108397059143
groovy-1_5_7,0.7781460766478111,0.775455525034609,0.2453290450762558,0.20666845810326528,0.028983955021257647,0.11394241430773695,14.041846958158706,22.06968184511684,10.152993405660325,10.930222404484336,0.08459705006263288,0.08459705006263288,1.0,5.84,4.126210949611106,0.17215384615384616,0.1297172402951557,21.45524122228846
groovy-1_6_BETA_1,0.6743246001829359,0.6567673327988003,0.23901576265863633,0.30522744885443764,0.11619263922740265,0.17103168412482972,50.777773955893636,55.50704311180412,36.05393755710976,28.05819108341168,0.021818880758310698,0.021818880758310698,1.0,5.84,4.099610193556014,0.16830769230769227,0.1246375739461395,21.94799676604569
