,Importance
Added_lines,0.034676163939256203
Del_lines,0.03250378783383501
ADEV,0.03212408442421442
COMM,0.031070873725987016
CountLine,0.028478387627097482
CountLineCode,0.02768523344151688
OWN_LINE,0.027454685500737264
CountLineCodeDecl,0.026035056292564158
CountClassCoupled,0.02566879732889951
CountStmtDecl,0.025180591346293715
CountLineCodeExe,0.025105606992649184
CountStmt,0.02492900887169312
CountSemicolon,0.02320042972398879
RatioCommentToCode,0.022423388020940384
CountLineComment,0.022064055657103683
